OldName,NewNamespace,toolkit
CDF_Application,app::driver::foundation,TKCDF
CDF_Directory,app::driver::foundation,TKCDF
CDF_DirectoryIterator,app::driver::foundation,TKCDF
CDF_FWOSDriver,app::driver::foundation,TKCDF
CDF_MetaDataDriver,app::driver::foundation,TKCDF
CDF_MetaDataDriverFactory,app::driver::foundation,TKCDF
CDF_Store,app::driver::foundation,TKCDF
CDF_StoreList,app::driver::foundation,TKCDF
CDM_Application,app::driver::manager,TKCDF
CDM_Document,app::driver::manager,TKCDF
CDM_MetaData,app::driver::manager,TKCDF
CDM_Reference,app::driver::manager,TKCDF
CDM_ReferenceIterator,app::driver::manager,TKCDF
LDOM_Attr,exchange::xml::dom,TKCDF
LDOM_BasicAttribute,exchange::xml::dom,TKCDF
LDOM_BasicElement,exchange::xml::dom,TKCDF
LDOM_BasicNode,exchange::xml::dom,TKCDF
LDOM_BasicText,exchange::xml::dom,TKCDF
LDOM_CharReference,exchange::xml::dom,TKCDF
LDOM_CharacterData,exchange::xml::dom,TKCDF
LDOM_Document,exchange::xml::dom,TKCDF
LDOM_Element,exchange::xml::dom,TKCDF
LDOM_LDOMImplementation,exchange::xml::dom,TKCDF
LDOM_MemManager,exchange::xml::dom,TKCDF
LDOM_Node,exchange::xml::dom,TKCDF
LDOM_NodeList,exchange::xml::dom,TKCDF
LDOM_OSStream,exchange::xml::dom,TKCDF
LDOM_Text,exchange::xml::dom,TKCDF
LDOM_XmlReader,exchange::xml::dom,TKCDF
LDOM_XmlWriter,exchange::xml::dom,TKCDF
PCDM,app::persistence::appcore,TKCDF
PCDM_DOMHeaderParser,app::persistence::appcore,TKCDF
PCDM_Document,app::persistence::appcore,TKCDF
PCDM_DriverError,app::persistence::appcore,TKCDF
PCDM_ReadWriter,app::persistence::appcore,TKCDF
PCDM_ReadWriter_1,app::persistence::appcore,TKCDF
PCDM_Reader,app::persistence::appcore,TKCDF
PCDM_ReaderFilter,app::persistence::appcore,TKCDF
PCDM_Reference,app::persistence::appcore,TKCDF
PCDM_ReferenceIterator,app::persistence::appcore,TKCDF
PCDM_RetrievalDriver,app::persistence::appcore,TKCDF
PCDM_StorageDriver,app::persistence::appcore,TKCDF
PCDM_Writer,app::persistence::appcore,TKCDF
UTL,exchange::utility,TKCDF
D3DHost_FrameBuffer,visual::host::d3d,TKD3DHost
D3DHost_GraphicDriver,visual::host::d3d,TKD3DHost
D3DHost_GraphicDriverFactory,visual::host::d3d,TKD3DHost
D3DHost_View,visual::host::d3d,TKD3DHost
D3DHostTest,test::visual::d3d,TKD3DHostTest
DDF,test::app::framework,TKDCAF
DDF_AttributeBrowser,test::app::framework,TKDCAF
DDF_Browser,test::app::framework,TKDCAF
DDF_Data,test::app::framework,TKDCAF
DDF_Transaction,test::app::framework,TKDCAF
DDataStd,test::app::data,TKDCAF
DDataStd_DrawDriver,test::app::data,TKDCAF
DDataStd_DrawPresentation,test::app::data,TKDCAF
DDataStd_TreeBrowser,test::app::data,TKDCAF
DDocStd,test::app::doc,TKDCAF
DDocStd_DrawDocument,test::app::doc,TKDCAF
DNaming,test::app::naming,TKDCAF
DNaming_BooleanOperationDriver,test::app::naming,TKDCAF
DNaming_BoxDriver,test::app::naming,TKDCAF
DNaming_CylinderDriver,test::app::naming,TKDCAF
DNaming_FilletDriver,test::app::naming,TKDCAF
DNaming_Line3DDriver,test::app::naming,TKDCAF
DNaming_PointDriver,test::app::naming,TKDCAF
DNaming_PrismDriver,test::app::naming,TKDCAF
DNaming_RevolutionDriver,test::app::naming,TKDCAF
DNaming_SelectionDriver,test::app::naming,TKDCAF
DNaming_SphereDriver,test::app::naming,TKDCAF
DNaming_TransformationDriver,test::app::naming,TKDCAF
DPrsStd,test::app::presentation,TKDCAF
DrawDim,test::draw::dimension,TKDCAF
DrawDim_Angle,test::draw::dimension,TKDCAF
DrawDim_Dimension,test::draw::dimension,TKDCAF
DrawDim_Distance,test::draw::dimension,TKDCAF
DrawDim_PlanarAngle,test::draw::dimension,TKDCAF
DrawDim_PlanarDiameter,test::draw::dimension,TKDCAF
DrawDim_PlanarDimension,test::draw::dimension,TKDCAF
DrawDim_PlanarDistance,test::draw::dimension,TKDCAF
DrawDim_PlanarRadius,test::draw::dimension,TKDCAF
DrawDim_Radius,test::draw::dimension,TKDCAF
